,listing_id,user_id,title,description,original_creation_tsz,price,tags,views,num_favorers,is_customizable,taxonomy_path,product_category,title_count,desc_count,tag_count,days_since_og_creation,og_creation_month
0,953575418,9704897,New Stainless Steel 304 Clasp For 5.5mm - 6mm Round Leather Cord - Non Tarnish Silver - C2780 - Qty 1,"This listing is for one (1) stainless steel clasp for 6mm round leather

These clasps are great for a man or a woman!


Length - 1.75&quot;
Hole 6mm

All of our Licorice Leather, Flat Leather, Round Leather, Climbing Cords and Findings are Imported Directly From Europe. They are Genuine and are the Highest Quality Cord and Findings on the market.

NOTE****We purchase ALL of our Licorice Leather cords & findings from the same sources as others and WE pass the savings on to you. But because we do not purchase from a &quot;certain person&quot;, we cannot use the &quot;R&quot; word on our products, but please note***** THEY ARE THE SAME PRODUCTS  

High Quality European Stainless Steel, Lead & Nickel Free

Imported From Europe",1613964716,3.75,"['round cord clasp', 'round leather clasp', 'leather cord clasp', 'stainless steel', 'stainless clasp', 'magnetic clasp', 'stainless findings', 'stainless clasps', '6mm clasp', '6mm round leather', '6mm leather cord', '6mm stainless steel', '6mm stainless clasp']",0,0,1,"['Craft Supplies & Tools', 'Findings', 'Clasps & Clips']",Craft Supplies & Tools,21,124,13,3,2
1,844913736,343332809,"Personalised 30th Birthday Non Shed Glitter Cake Topper | 16th, 18th, 21st, 30th, 40th, 50th Cake Topper | Party Decoration","Personalised 30th Birthday Non Shed Glitter Cake Topper | 16th, 18th, 21st, 30th, 40th, 50th Cake Topper | Party Decoration

♡

Cake topper perfect for birthdays!

- Personalisation - 

Personalise with any NAME and AGE you would like.

Please only include the name and age. You cannot have both the word birthday and the name on the topper!

All toppers are personalised and made to order so please check your spelling before submitting your order as we are unable to amend orders. 

- Cake Topper Details - 

Approximate Dimensions: 12cm x 12cm.

Cake toppers come attached to a wooden stick, ready to be placed on top of the cake. If you would not like it attached, please leave a note in the messages.

Note: Glitter is only on one side.

- Delivery -

Standard: Items will be sent via Royal Mail 2nd Class
Express: Items will be sent via Royal Mail 1st Class

- Returns -

Unfortunately, as this is a personalised item, we are unable to accept returns. If however the item is defective, please contact us.

Tag & Follow us on Instagram @personaliseforME",1598099627,4,"['gold glitter', 'birthday topper', 'glitter topper', 'personalised topper', 'circle topper', '30th cake topper', 'personalised cake', 'non shed glitter', 'glitter cake topper', 'personalised glitter', 'age cake topper']",2326,77,0,"['Craft Supplies & Tools', 'Kitchen Supplies', 'Baking & Cake Decorations', 'Cake Toppers & Picks', 'Cake Toppers']",Craft Supplies & Tools,20,185,11,186,8
2,575201380,124528788,"Personalised Wedding Day Slippers for Bridesmaids, Wedding Party, Hen Party, Bridal Party","Beautiful personalised wedding slippers perfect for the morning of the big day, Hen party or any other occasion!

Adult slippers are ONE SIZE ONLY and will fit up to a UK size 8-9 (US 10-11)

Very soft and comfortable open toe white spa slippers.

Can be customised to how you would like!

**HOW TO ORDER**

1. select quantity/role and text colour required

2. Please include personalisation details AND DATE OF WEDDING/EVENT in the box provided below (the date WILL NOT be included on the slippers unless specifically requested)

**IMPORTANT**

These are hotel/spa Slippers and are considered to be &#39;disposable&#39;. As such, they are not intended for, and will not withstand regular use. They are intended for light use around hotel/spa area for the day / weekend.

**DELIVERY**

All UK orders are sent via Royal Mail 1st class post.

International orders are sent via Royal Mail TRACKED delivery. You will receive your tracking information with your dispatch email via Etsy. The approximate delivery times are between 1 - 4 weeks to be delivered. LoveMimiX cannot be held responsible for delays in international delivery due to items being held in customs or postage delays within your country.

**WE ARE A UK BASED COMPANY**

If you are not 100% happy with your purchase please contact us ASAP.

Thank you for looking! Please contact us if you have an queries!

Hen Party / Bridesmaid Gifts / Hen Party Slippers / Personalised Wedding / Spa Slippers / Bride Slippers / Bridal Party Slippers / Personalised Slippers / Maid of Honour / Mother of the Bride / Bridesmaid Slippers / Slippers / Wedding Slippers",1516874376,3,"['Hen Party', 'bridesmaid gifts', 'hen party slippers', 'personalised wedding', 'spa slippers', 'bride slippers', 'bridal party slipper', 'personalised slipper', 'bridesmaid slippers', 'slippers', 'wedding slippers', 'wedding day slippers', 'slippers for wedding']",62398,4518,0,"['Weddings', 'Gifts & Mementos', ""Bridesmaids' Gifts""]",Weddings,12,268,13,1126,1
3,965856311,9704897,Style Variety Mix - 5 Piece Pre-Cut - 6 - 6 3/4 Inch - 10mm Flat Leather Cord - Black Mix - PK154,"This listing is for 5 precut 6 - 6 3/4 inch strips of 10mm Flat leather cord. 

This is a great way to sample other styles of leather cords!  You will receive a random mix of italian, embossed, die-cut, stitched, nappa & buffalo leather cords!

10x1.5 - 10x2.5mm


This cord is PRECUT in 6 - 6 3/4 inch increments 

All of our Licorice Leather, Flat Leather, Round Leather, Climbing Cords and Findings are Imported Directly From Europe. They are Genuine and are the Highest Quality Cord and Findings on the market.

We purchase ALL of our Licorice Leather cords & findings from the same sources as others and WE pass the savings on to you. But because we do not purchase from a &quot;certain person&quot;, we cannot use the &quot;R&quot; word on our products, but please note***** THEY ARE THE SAME PRODUCTS  

Imported From Greece & Spain",1613723964,7.5,"['Greek Leather', 'Leather Cord', 'Genuine Leather', 'Quality Leather Cord', 'nappa leather cord', 'nubuck leather', 'engraved leather', '10mm flat leather', '10mm vintage leather', '10mm leather cord', 'vintage leather cord', '10mm flat cord', 'embossed leather']",0,0,1,"['Craft Supplies & Tools', 'String, Cord & Wire']",Craft Supplies & Tools,23,148,13,6,2
4,964511173,9704897,Overstock / Clearance - Variety Mix Packs - Zamak Pendants & Charms For Leather Cords Or Chain  - Z6620 - Qty 15 Pc,"This listing is for FIFTEEN Pieces (15) Zamak Pendants 

You will receive a great variety of assorted sizes of pendants for leather cords or chain!

These are great for men or women and make beautiful bracelets or necklaces!

Variety Mixes of Swarovski Crystal, Enameled, Gemstone, Cabochon, Antique Silver, Antique Brass, Antique Copper & Gold


All of our Licorice Leather, Flat Leather, Round Leather, Climbing Cords and Findings are Imported Directly From Europe. They are Genuine and are the Highest Quality Cord and Findings on the market.

NOTE****We purchase ALL of our Licorice Leather cords & findings from the same sources as others and WE pass the savings on to you. But because we do not purchase from a &quot;certain person&quot;, we cannot use the &quot;R&quot; word on our products, but please note***** THEY ARE THE SAME PRODUCTS  

High Quality European Metal Castings Lead & Nickel Free
Imported & Manufactured In Europe",1613550222,7.25,"['Jewelry Findings', 'Stainless Steel', 'stainless connector', 'bracelet component', '5mm round leather', 'stainless findings', 'round leather cord', 'bracelet connectors', 'necklace connectors', 'jewelry connectors', 'necklace components', 'pendants', 'necklace findings']",0,0,1,"['Craft Supplies & Tools', 'Beads, Gems & Cabochons', 'Charms & Pendants', 'Charms']",Craft Supplies & Tools,23,152,13,8,2
5,951206256,9704897,Overstock / Clearance - Variety Mix Packs - Sliders For 10x5mm - 10x6mm Leather Cord - Z6686 - Qty 10 Pc,"This listing is for TEN Pieces (10) Zamak Sliders For 10x5mm - 10x6mm Leather Cord 

You will receive a great variety of assorted sizes of sliders for 10x5mm - 10x6mm round leather cord!
Variety Mixes of Swarovski Crystal, Enameled, Gemstone, Tubes, Cabochon, Antique Silver, Antique Brass, Antique Copper & Gold

These are great for men or women and make beautiful bracelets or necklaces!

Assorted Sizes
Hole - 10x5mm - 10x6mm


All of our Licorice Leather, Flat Leather, Round Leather, Climbing Cords and Findings are Imported Directly From Europe. They are Genuine and are the Highest Quality Cord and Findings on the market.

NOTE****We purchase ALL of our Licorice Leather cords & findings from the same sources as others and WE pass the savings on to you. But because we do not purchase from a &quot;certain person&quot;, we cannot use the &quot;R&quot; word on our products, but please note***** THEY ARE THE SAME PRODUCTS  

High Quality European Metal Castings Lead & Nickel Free
Imported & Manufactured In Europe",1613635282,9.5,"['Jewelry Findings', 'bracelet component', 'necklace connectors', 'jewelry connectors', 'necklace components', 'slider beads', 'round slider beads', '10x5mm slider beads', '10x6mm slider beads', '10x6mm variety mix', '10x6mm', '10x5mm', 'licorice leather']",0,0,1,"['Craft Supplies & Tools', 'Beads, Gems & Cabochons', 'Beads']",Craft Supplies & Tools,21,168,13,7,2
6,777598898,282025061,Todoroki Keychains,Custom made keychains of Todoroki from My Hero Academia 🔥❄️,1585752944,7.5,"['Todoroki', 'mha', 'my hero academia', 'japanese', 'manga', 'anime', 'keychain', 'accessory', 'japan', 'diy', 'anime art', 'fanart']",1195,875,0,"['Accessories', 'Keychains & Lanyards', 'Keychains']",Accessories,2,10,12,329,4
7,935930570,294215523,Kids Melon Cartoon Face Mask,"Kids melon cartoon mask

Gentle wash in cold water and air dry only to prevent damage",1611636704,5.5,"['Face mask', 'Kids face mask', 'Coco', 'Melon']",455,55,0,"['Bath & Beauty', 'Personal Care', 'Face Masks & Coverings']",Bath & Beauty,5,16,4,30,1
8,968307109,398170527,Large Gold Leaf Artwork Decor Golden Wall Art Oversized Paintings on Canvas Rich Texture Artwork Gold Leaf Contour Painting Large Gold Leaf,"Rose flower oil painting.

Dimensions:

Height 60.96 cm, Width 137.16cm",1614075050,300,"['rose art', 'rose painting', 'flower painting', 'romantic rose gift']",0,0,0,"['Art & Collectibles', 'Painting', 'Oil']",Art & Collectibles,22,10,4,1,2
9,965163303,9704897,Overstock / Clearance - Variety Mix Packs - Sliders For 4mm - 4.5mm Round Leather Cord - Z6676 - Qty 63 Pc,"This listing is for SIXTY THREE Pieces (63) Zamak Sliders For 4mm - 4.5mm Round Leather Cord 

You will receive a great variety of assorted sizes of sliders for 4mm-4.5mm round leather cord!
Variety Mixes of Swarovski Crystal, Enameled, Gemstone, Tubes, Cabochon, Antique Silver, Antique Brass, Antique Copper & Gold

These are great for men or women and make beautiful bracelets or necklaces!

Assorted Sizes
Hole - 4mm - 4.5mm


All of our Licorice Leather, Flat Leather, Round Leather, Climbing Cords and Findings are Imported Directly From Europe. They are Genuine and are the Highest Quality Cord and Findings on the market.

NOTE****We purchase ALL of our Licorice Leather cords & findings from the same sources as others and WE pass the savings on to you. But because we do not purchase from a &quot;certain person&quot;, we cannot use the &quot;R&quot; word on our products, but please note***** THEY ARE THE SAME PRODUCTS  

High Quality European Metal Castings Lead & Nickel Free
Imported & Manufactured In Greece",1613633016,13.75,"['Jewelry Findings', 'bracelet component', 'bracelet connectors', 'necklace connectors', 'jewelry connectors', 'necklace components', 'pendants', 'necklace findings', 'slider beads', 'round slider beads', '4mm slider beads', '4mm zamak sliders', '4mm round leather']",0,0,1,"['Craft Supplies & Tools', 'Beads, Gems & Cabochons', 'Beads']",Craft Supplies & Tools,22,168,13,7,2
